Model,Phase,AUC_ROC,TrainingAccuracy,TestingAccuracy,Recall,Precision,F1_Score,FalsePositives,FalseNegatives
LogisticRegression,MinMaxAll,0.9247899159663865,0.9619469026548673,0.9457364341085271,0.9,0.6,0.7200000000000001,12,2
SVC,MinMaxAll,0.9247899159663865,0.9513274336283186,0.9457364341085271,0.9,0.6,0.7200000000000001,12,2
LogisticRegression,MinMax,0.9247899159663865,0.9619469026548673,0.9457364341085271,0.9,0.6,0.7200000000000001,12,2
SVC,MinMax,0.9247899159663865,0.9513274336283186,0.9457364341085271,0.9,0.6,0.7200000000000001,12,2
GradientBoostingClassifier,MinMaxAll,0.9144957983193277,0.9982300884955753,0.9689922480620154,0.85,0.7727272727272727,0.8095238095238095,5,3
GradientBoostingClassifier,MinMax,0.9144957983193277,0.9982300884955753,0.9689922480620154,0.85,0.7727272727272727,0.8095238095238095,5,3
GradientBoostingClassifier,unscaled,0.9102941176470588,0.9982300884955753,0.9612403100775194,0.85,0.7083333333333334,0.7727272727272727,7,3
BaggingClassifier,MinMax,0.90609243697479,0.9964601769911504,0.9534883720930233,0.85,0.6538461538461539,0.7391304347826088,9,3
LogisticRegression,Zscore,0.901890756302521,0.9707964601769912,0.9457364341085271,0.85,0.6071428571428571,0.7083333333333333,11,3
LogisticRegression,unscaled,0.8997899159663866,0.963716814159292,0.9418604651162791,0.85,0.5862068965517241,0.6938775510204082,12,3
LogisticRegression,ZscoreAll,0.8997899159663866,0.9699115044247788,0.9418604651162791,0.85,0.5862068965517241,0.6938775510204082,12,3
KNeighborsClassifier,MinMaxAll,0.8913865546218488,0.9787610619469026,0.9263565891472868,0.85,0.5151515151515151,0.6415094339622641,16,3
KNeighborsClassifier,MinMax,0.8913865546218488,0.9787610619469026,0.9263565891472868,0.85,0.5151515151515151,0.6415094339622641,16,3
XGBClassifier,unscaled,0.8852941176470588,0.9946902654867257,0.9573643410852714,0.8,0.6956521739130435,0.7441860465116279,7,4
BaggingClassifier,MinMaxAll,0.8852941176470588,0.995575221238938,0.9573643410852714,0.8,0.6956521739130435,0.7441860465116279,7,4
XGBClassifier,MinMaxAll,0.8852941176470588,0.9946902654867257,0.9573643410852714,0.8,0.6956521739130435,0.7441860465116279,7,4
GradientBoostingClassifier,ZscoreAll,0.8852941176470588,0.9964601769911504,0.9573643410852714,0.8,0.6956521739130435,0.7441860465116279,7,4
