Model,Phase,AUC_ROC,TrainingAccuracy,TestingAccuracy,Recall,Precision,F1_Score,FalsePositives,FalseNegatives
LogisticRegression,MinMaxAll,0.9349427168576104,0.9540229885057471,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
SVC,MinMaxAll,0.9349427168576104,0.9436781609195403,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
LogisticRegression,MinMax,0.9349427168576104,0.9540229885057471,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
SVC,MinMax,0.9349427168576104,0.9436781609195403,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
LogisticRegression,unscaled,0.896481178396072,0.9597701149425287,0.9402985074626866,0.8461538461538461,0.5238095238095238,0.6470588235294118,10,2
LogisticRegression,ZscoreAll,0.896481178396072,0.9689655172413794,0.9402985074626866,0.8461538461538461,0.5238095238095238,0.6470588235294118,10,2
LogisticRegression,Zscore,0.8938216039279869,0.967816091954023,0.9353233830845771,0.8461538461538461,0.5,0.6285714285714286,11,2
XGBClassifier,unscaled,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,MinMaxAll,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,ZscoreAll,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,MinMax,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,Zscore,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
BernoulliNB,ZscoreAll,0.8500409165302781,0.8988505747126436,0.9203980099502488,0.7692307692307693,0.43478260869565216,0.5555555555555555,13,3
BaggingClassifier,unscaled,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,unscaled,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,MinMaxAll,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,ZscoreAll,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,MinMax,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,Zscore,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
RandomForestClassifier,MinMax,0.8248772504091654,0.9988505747126437,0.9402985074626866,0.6923076923076923,0.5294117647058824,0.5999999999999999,8,4
BaggingClassifier,MinMax,0.8222176759410802,0.9977011494252873,0.9353233830845771,0.6923076923076923,0.5,0.5806451612903226,9,4
BernoulliNB,unscaled,0.819558101472995,0.9528735632183908,0.9303482587064676,0.6923076923076923,0.47368421052631576,0.5625,10,4
DecisionTreeClassifier,ZscoreAll,0.8142389525368249,1.0,0.9203980099502488,0.6923076923076923,0.42857142857142855,0.5294117647058824,12,4
BernoulliNB,Zscore,0.8142389525368249,0.9287356321839081,0.9203980099502488,0.6923076923076923,0.42857142857142855,0.5294117647058824,12,4
AdaBoostClassifier,unscaled,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,MinMaxAll,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,ZscoreAll,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,MinMax,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
