Model,Phase,AUC_ROC,TrainingAccuracy,TestingAccuracy,Recall,Precision,F1_Score,FalsePositives,FalseNegatives
BernoulliNB,Zscore,0.9376022913256956,0.9632183908045977,0.9502487562189055,0.9230769230769231,0.5714285714285714,0.7058823529411765,9,1
SVC,MinMaxAll,0.9349427168576104,0.9517241379310345,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
SVC,MinMax,0.9349427168576104,0.9517241379310345,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
LogisticRegression,MinMaxAll,0.9322831423895254,0.9586206896551724,0.9402985074626866,0.9230769230769231,0.5217391304347826,0.6666666666666667,11,1
LogisticRegression,MinMax,0.9322831423895254,0.9586206896551724,0.9402985074626866,0.9230769230769231,0.5217391304347826,0.6666666666666667,11,1
BernoulliNB,ZscoreAll,0.9296235679214403,0.9275862068965517,0.9353233830845771,0.9230769230769231,0.5,0.6486486486486487,12,1
LogisticRegression,Zscore,0.9296235679214403,0.9655172413793104,0.9353233830845771,0.9230769230769231,0.5,0.6486486486486487,12,1
XGBClassifier,unscaled,0.9018003273322424,0.996551724137931,0.9502487562189055,0.8461538461538461,0.5789473684210527,0.6875,8,2
XGBClassifier,MinMaxAll,0.9018003273322424,0.996551724137931,0.9502487562189055,0.8461538461538461,0.5789473684210527,0.6875,8,2
XGBClassifier,ZscoreAll,0.9018003273322424,0.996551724137931,0.9502487562189055,0.8461538461538461,0.5789473684210527,0.6875,8,2
XGBClassifier,MinMax,0.9018003273322424,0.996551724137931,0.9502487562189055,0.8461538461538461,0.5789473684210527,0.6875,8,2
XGBClassifier,Zscore,0.9018003273322424,0.996551724137931,0.9502487562189055,0.8461538461538461,0.5789473684210527,0.6875,8,2
LogisticRegression,unscaled,0.8938216039279869,0.964367816091954,0.9353233830845771,0.8461538461538461,0.5,0.6285714285714286,11,2
LogisticRegression,ZscoreAll,0.8885024549918168,0.967816091954023,0.9253731343283582,0.8461538461538461,0.4583333333333333,0.5945945945945945,13,2
LGBMClassifier,unscaled,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
LGBMClassifier,MinMaxAll,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
LGBMClassifier,ZscoreAll,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
LGBMClassifier,MinMax,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
HistGradientBoostingClassifier,MinMax,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
LGBMClassifier,Zscore,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
HistGradientBoostingClassifier,Zscore,0.8659983633387889,1.0,0.9502487562189055,0.7692307692307693,0.5882352941176471,0.6666666666666667,7,3
BernoulliNB,unscaled,0.8633387888707038,0.9436781609195403,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
GradientBoostingClassifier,unscaled,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
HistGradientBoostingClassifier,unscaled,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
BernoulliNB,MinMaxAll,0.8633387888707038,0.9425287356321839,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
GradientBoostingClassifier,MinMaxAll,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
HistGradientBoostingClassifier,MinMaxAll,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
GradientBoostingClassifier,ZscoreAll,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
HistGradientBoostingClassifier,ZscoreAll,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
BernoulliNB,MinMax,0.8633387888707038,0.9425287356321839,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
GradientBoostingClassifier,MinMax,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
GradientBoostingClassifier,Zscore,0.8633387888707038,1.0,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
KNeighborsClassifier,MinMaxAll,0.8115793780687397,0.9770114942528736,0.9154228855721394,0.6923076923076923,0.4090909090909091,0.5142857142857142,13,4
KNeighborsClassifier,MinMax,0.8115793780687397,0.9770114942528736,0.9154228855721394,0.6923076923076923,0.4090909090909091,0.5142857142857142,13,4
AdaBoostClassifier,unscaled,0.7890752864157119,0.9977011494252873,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,MinMaxAll,0.7890752864157119,0.9977011494252873,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,ZscoreAll,0.7890752864157119,0.9977011494252873,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,MinMax,0.7890752864157119,0.9977011494252873,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,Zscore,0.7890752864157119,0.9977011494252873,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
RandomForestClassifier,MinMaxAll,0.7837561374795418,1.0,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
BaggingClassifier,ZscoreAll,0.7837561374795418,0.9954022988505747,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
BaggingClassifier,Zscore,0.7810965630114567,0.9977011494252873,0.9253731343283582,0.6153846153846154,0.4444444444444444,0.5161290322580646,10,5
BaggingClassifier,unscaled,0.7784369885433715,1.0,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
DecisionTreeClassifier,ZscoreAll,0.7784369885433715,1.0,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
BaggingClassifier,MinMaxAll,0.7757774140752864,0.9988505747126437,0.9154228855721394,0.6153846153846154,0.4,0.4848484848484849,12,5
DecisionTreeClassifier,unscaled,0.7731178396072014,1.0,0.9104477611940298,0.6153846153846154,0.38095238095238093,0.47058823529411764,13,5
DecisionTreeClassifier,MinMax,0.7731178396072014,1.0,0.9104477611940298,0.6153846153846154,0.38095238095238093,0.47058823529411764,13,5
KNeighborsClassifier,ZscoreAll,0.7651391162029461,0.9735632183908046,0.8955223880597015,0.6153846153846154,0.3333333333333333,0.43243243243243246,16,5
RandomForestClassifier,ZscoreAll,0.7506137479541733,0.9988505747126437,0.9353233830845771,0.5384615384615384,0.5,0.5185185185185186,7,6
BaggingClassifier,MinMax,0.7479541734860884,0.996551724137931,0.9303482587064676,0.5384615384615384,0.4666666666666667,0.5,8,6
DecisionTreeClassifier,MinMaxAll,0.739975450081833,1.0,0.9154228855721394,0.5384615384615384,0.3888888888888889,0.45161290322580644,11,6
DecisionTreeClassifier,Zscore,0.7346563011456627,1.0,0.9054726368159204,0.5384615384615384,0.35,0.4242424242424242,13,6
RandomForestClassifier,MinMax,0.6710310965630114,0.9988505747126437,0.9203980099502488,0.38461538461538464,0.38461538461538464,0.38461538461538464,8,8
SVC,ZscoreAll,0.6683715220949263,0.9862068965517241,0.9154228855721394,0.38461538461538464,0.35714285714285715,0.3703703703703704,9,8
SVC,unscaled,0.6630523731587561,0.9804597701149426,0.9054726368159204,0.38461538461538464,0.3125,0.3448275862068966,11,8
SVC,Zscore,0.6630523731587561,0.9816091954022989,0.9054726368159204,0.38461538461538464,0.3125,0.3448275862068966,11,8
RandomForestClassifier,Zscore,0.6378887070376432,0.9988505747126437,0.9253731343283582,0.3076923076923077,0.4,0.34782608695652173,6,9
RandomForestClassifier,unscaled,0.6020867430441899,0.9988505747126437,0.9253731343283582,0.23076923076923078,0.375,0.2857142857142857,5,10
KNeighborsClassifier,Zscore,0.582037643207856,0.960919540229885,0.8208955223880597,0.3076923076923077,0.12903225806451613,0.18181818181818182,27,9
KNeighborsClassifier,unscaled,0.5501227495908347,0.9310344827586207,0.7611940298507462,0.3076923076923077,0.09302325581395349,0.14285714285714285,39,9
GaussianNB,unscaled,0.4801554828150573,0.5448275862068965,0.0945273631840796,0.9230769230769231,0.06217616580310881,0.11650485436893204,181,1
GaussianNB,MinMaxAll,0.4695171849427169,0.539080459770115,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
GaussianNB,ZscoreAll,0.4695171849427169,0.539080459770115,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
GaussianNB,MinMax,0.4695171849427169,0.539080459770115,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
GaussianNB,Zscore,0.4695171849427169,0.539080459770115,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
